Starting_gene(s)_symbol	Starting_gene(s)_FBgn	Interacting_gene(s)_symbol	Interacting_gene(s)_FBgn	Interaction_type
b	fbgn0000153	su(b)	fbgn0003546	suppressible
w	fbgn0003996	Pcf11	fbgn0264962	suppressible
nkd	fbgn0002945	wg	fbgn0284084	suppressible
dsh	fbgn0000499	bdg	fbgn0034049	enhanceable
lok	fbgn0019686	CG46339	fbgn0285963	suppressible
para	fbgn0285944	Cnx99A	fbgn0015622	enhanceable
Pink1	fbgn0029891	Ucp4A	fbgn0030872	suppressible
brat	fbgn0010300	dpn	fbgn0010109	suppressible
gbb	fbgn0024234	sax	fbgn0003317	suppressible
sd	fbgn0003345	ebi	fbgn0263933	enhanceable
wg	fbgn0284084	dsh	fbgn0000499	suppressible
Myc	fbgn0262656	Atg17	fbgn0037363	suppressible
fu	fbgn0001079	Su(fu)	fbgn0005355	enhanceable
fra	fbgn0011592	Src64B	fbgn0262733	suppressible
Tm1|osk	fbgn0003721|fbgn0003015	E(To)12	fbgn0046123	enhanceable
Imp	fbgn0285926	chic	fbgn0000308	suppressible
ph-p	fbgn0004861	lolal	fbgn0022238	suppressible
park	fbgn0041100	Buffy	fbgn0040491	enhanceable
CycE	fbgn0010382	Eb1	fbgn0027066	suppressible
Antp	fbgn0260642	Dsp1	fbgn0278608	suppressible
N	fbgn0004647	S	fbgn0003310	enhanceable
N|E(spl)m8-HLH	fbgn0004647|fbgn0000591	da	fbgn0267821	enhanceable
Abl	fbgn0000017	chb	fbgn0021760	enhanceable
gro	fbgn0001139	klu	fbgn0013469	suppressible
Pi3K68D	fbgn0015278	14-3-3?	fbgn0004907	suppressible
ttk	fbgn0003870	lilli	fbgn0041111	suppressible
Pi3K92E|btl::Egfr	fbgn0015279|fbgn0022739	eIF4E1	fbgn0015218	suppressible
pbl	fbgn0003041	nemy	fbgn0261673	enhanceable
Cip4	fbgn0035533	wit	fbgn0024179	suppressible
Myb	fbgn0002914	Dp|E2f1	fbgn0011763|fbgn0011766	suppressible
ct	fbgn0004198	CG17075	fbgn0031239	suppressible
tld	fbgn0003719	spz|yeti-MBT	fbgn0003495|fbgn0042097	enhanceable
peb	fbgn0003053	Dl	fbgn0000463	enhanceable
mi	fbgn0261786	CycE	fbgn0010382	suppressible
Pten	fbgn0026379	Tor	fbgn0021796	suppressible
pnr	fbgn0003117	EP2146a	fbgn0043365	enhanceable
Ras85D|scrib	fbgn0003205|fbgn0263289	Nadsyn	fbgn0030512	suppressible
EcR	fbgn0000546	mir-let7	fbgn0262406	suppressible
rdgA	fbgn0261549	G?q	fbgn0004435	suppressible
dom	fbgn0020306	M1BP	fbgn0037621	enhanceable
Raf::tor	fbgn0013724	rl	fbgn0003256	suppressible
CycE	fbgn0010382	S(CycE<up>JP</up>)47S8	fbgn0082620	suppressible
Pc	fbgn0003042	eff	fbgn0011217	enhanceable
Det	fbgn0264291	hts	fbgn0263391	suppressible
ro	fbgn0003267	Su(ro<up>DOM</up>)923	fbgn0043553	suppressible
p53	fbgn0039044	Erk7	fbgn0052703	suppressible
hiw	fbgn0030600	SkpA	fbgn0025637	enhanceable
Nf1	fbgn0015269	Pka-C1	fbgn0000273	enhanceable
Mkp3	fbgn0036844	btl	fbgn0285896	enhanceable
pnt	fbgn0003118	btd	fbgn0000233	suppressible
rpr	fbgn0011706	bsk	fbgn0000229	suppressible
drl	fbgn0015380	Wnt5	fbgn0010194	enhanceable
tkv	fbgn0003716	Rbf	fbgn0015799	suppressible
pbl	fbgn0003041	cdc14	fbgn0031952	enhanceable
EP639	fbgn0043454	H	fbgn0001169	suppressible
Ras85D	fbgn0003205	cnk	fbgn0286070	enhanceable
Toll-6	fbgn0036494	Toll-7	fbgn0034476	suppressible
aurA	fbgn0000147	His2Av	fbgn0001197	suppressible
parvin	fbgn0052528	Ilk	fbgn0028427	suppressible
ovo	fbgn0003028	otu	fbgn0003023	suppressible
BG02257	fbgn0069984	foxo	fbgn0038197	suppressible
Pc	fbgn0003042	chm	fbgn0028387	enhanceable
Moe|puc	fbgn0011661|fbgn0243512	Rho1	fbgn0014020	suppressible
cnk	fbgn0286070	PDZ-GEF	fbgn0265778	enhanceable
eve	fbgn0000606	beat-Ia|unc-5	fbgn0013433|fbgn0034013	enhanceable
fz	fbgn0001085	ds	fbgn0284247	enhanceable
bs	fbgn0004101	Mrtf	fbgn0052296	enhanceable
H	fbgn0001169	insv	fbgn0031434	enhanceable
Tsc1	fbgn0026317	S6k	fbgn0283472	suppressible
sli	fbgn0264089	Nrt	fbgn0004108	enhanceable
Vang	fbgn0015838	pk	fbgn0003090	enhanceable
Lkb1	fbgn0038167	Diap1	fbgn0260635	suppressible
trx	fbgn0003862	Gug	fbgn0010825	enhanceable
Ptp52F	fbgn0034085	Ptp10D	fbgn0004370	enhanceable
pbl	fbgn0003041	CycE	fbgn0010382	suppressible
BicC	fbgn0000182	tral	fbgn0041775	enhanceable
pzg	fbgn0259785	EcR	fbgn0000546	suppressible
Met	fbgn0002723	gce	fbgn0261703	suppressible
osk	fbgn0003015	aub	fbgn0000146	suppressible
Rel	fbgn0014018	sc	fbgn0004170	enhanceable
yki	fbgn0034970	BuGZ	fbgn0032600	suppressible
ninaE	fbgn0002940	Mekk1	fbgn0024329	suppressible
Ras85D	fbgn0003205	SR3-8	fbgn0016738	suppressible
hid	fbgn0003997	Egfr	fbgn0003731	suppressible
Rala	fbgn0015286	Rlip	fbgn0026056	enhanceable
nej	fbgn0261617	Xrp1	fbgn0261113	enhanceable
Mow	fbgn0017571	Ufo	fbgn0020612	suppressible
Ras85D|dlg1	fbgn0003205|fbgn0001624	yki	fbgn0034970	suppressible
ph-p|y	fbgn0004861|fbgn0004034	su(Hw)	fbgn0003567	suppressible
kermit	fbgn0010504	Cdc42	fbgn0010341	enhanceable
SERCA|comt	fbgn0263006|fbgn0000346	Sh	fbgn0003380	suppressible
sog	fbgn0003463	mys	fbgn0004657	enhanceable
Dref	fbgn0015664	Dll	fbgn0000157	enhanceable
Egfr	fbgn0003731	ast	fbgn0015905	enhanceable
bw	fbgn0000241	Mod(Prat:bw)3-10	fbgn0067876	suppressible
CadN	fbgn0015609	uzip	fbgn0004055	enhanceable
Pink1	fbgn0029891	Trap1	fbgn0026761	suppressible
Raf	fbgn0003079	Rac1	fbgn0010333	suppressible
Nsf2	fbgn0266464	lola	fbgn0283521	suppressible
tau	fbgn0266579	futsch	fbgn0259108	enhanceable
svp	fbgn0003651	aop	fbgn0000097	enhanceable
N	fbgn0004647	H	fbgn0001169	suppressible
E2f1	fbgn0011766	Cdk4|CycD	fbgn0016131|fbgn0010315	suppressible
gbb	fbgn0024234	tkv	fbgn0003716	enhanceable
Ras85D	fbgn0003205	Taf8	fbgn0022724	suppressible
sc	fbgn0004170	su(Hw)	fbgn0003567	suppressible
Pc	fbgn0003042	bur	fbgn0000239	enhanceable
N	fbgn0004647	wg	fbgn0284084	suppressible
Marf	fbgn0029870	Drp1	fbgn0026479	suppressible
Pros?2	fbgn0023174	HDAC6	fbgn0026428	suppressible
aop	fbgn0000097	EY3-2	fbgn0040329	enhanceable
pyd	fbgn0262614	tkv	fbgn0003716	enhanceable
ed	fbgn0000547	Grip	fbgn0029830	enhanceable
DAAM	fbgn0025641	ena	fbgn0000578	enhanceable
Dsor1	fbgn0010269	ER3-4	fbgn0016646	enhanceable
Ubqn	fbgn0031057	Psn	fbgn0284421	suppressible
brm|trx	fbgn0000212|fbgn0003862	Pcl	fbgn0003044	suppressible
TAF1B	fbgn0037792	NO66	fbgn0266570	suppressible
Dl	fbgn0000463	CG9650	fbgn0029939	suppressible
sima	fbgn0266411	Hph	fbgn0264785	suppressible
obk	fbgn0024208	Hsp83	fbgn0001233	suppressible
DCTN1-p150	fbgn0001108	EG7	fbgn0262067	enhanceable
Pink1	fbgn0029891	sicily	fbgn0030352	suppressible
z	fbgn0004050	mxc	fbgn0260789	suppressible
w	fbgn0003996	trx	fbgn0003862	enhanceable
Rab19	fbgn0015793	sli	fbgn0264089	suppressible
ZnT86D	fbgn0037875	ZnT41F	fbgn0025693	enhanceable
Ras85D	fbgn0003205	egr	fbgn0033483	suppressible
H	fbgn0001169	N	fbgn0004647	suppressible
pnut	fbgn0013726	Diap1	fbgn0260635	enhanceable
Pink1	fbgn0029891	Tom20	fbgn0036928	suppressible
pbl	fbgn0003041	fs(1)h	fbgn0004656	suppressible
Lim1	fbgn0026411	Chi	fbgn0013764	suppressible
N	fbgn0004647	Dsor1	fbgn0010269	suppressible
Su(var)205	fbgn0003607	htt	fbgn0027655	suppressible
Dronc	fbgn0026404	Dark	fbgn0263864	suppressible
pnr	fbgn0003117	TMEM216	fbgn0037614	enhanceable
ninaE	fbgn0002940	Rh4	fbgn0003250	suppressible
aop	fbgn0000097	Sos	fbgn0001965	enhanceable
fzr	fbgn0262699	faf	fbgn0005632	suppressible
E2f1	fbgn0011766	Su(z)2	fbgn0265623	suppressible
SERCA|comt	fbgn0263006|fbgn0000346	Raf	fbgn0003079	suppressible
