Starting_gene(s)_symbol	Starting_gene(s)_FBgn	Interacting_gene(s)_symbol	Interacting_gene(s)_FBgn	Interaction_type
sov	fbgn0286831	bam	fbgn0000158	suppressible
sable	fbgn0003309	su(sable)	fbgn0003575	suppressible
Rho1	fbgn0014020	p120ctn	fbgn0260799	enhanceable
repo	fbgn0011701	NimC4	fbgn0260011	suppressible
scrib	fbgn0263289	lic	fbgn0261524	suppressible
bw	fbgn0000241	Rm62	fbgn0003261	suppressible
Pink1	fbgn0029891	foxo	fbgn0038197	suppressible
eIF4E1	fbgn0015218	cup	fbgn0000392	enhanceable
Snr1	fbgn0011715	lid	fbgn0031759	suppressible
14-3-3?	fbgn0020238	14-3-3?	fbgn0004907	enhanceable
Prat	fbgn0004901	Prat2	fbgn0041194	suppressible
Ras85D	fbgn0003205	Tak1	fbgn0026323	suppressible
Chi|ap	fbgn0013764|fbgn0267978	ap::Chi	fbgn0029096	suppressible
Ras85D	fbgn0003205	rl	fbgn0003256	enhanceable
N	fbgn0004647	Hex-A	fbgn0001186	suppressible
Trpml	fbgn0262516	crq	fbgn0015924	suppressible
peb	fbgn0003053	l(3)L3930	fbgn0024550	suppressible
if	fbgn0001250	Zasp52	fbgn0265991	enhanceable
rpr	fbgn0011706	Diap1	fbgn0260635	suppressible
nwk	fbgn0263456	wit	fbgn0024179	enhanceable
lva	fbgn0029688	Lrrk	fbgn0038816	suppressible
gcm	fbgn0014179	crol	fbgn0020309	suppressible
ash1|trx	fbgn0005386|fbgn0003862	Psc	fbgn0005624	enhanceable
BicD	fbgn0000183	Dhc64C|stau	fbgn0261797|fbgn0003520	suppressible
Ras85D	fbgn0003205	N	fbgn0004647	suppressible
BicD	fbgn0000183	EndoA	fbgn0038659	suppressible
spz	fbgn0003495	NT1|spz5	fbgn0261526|fbgn0035379	enhanceable
para	fbgn0285944	Rab5	fbgn0014010	suppressible
Jra	fbgn0001291	pnt	fbgn0003118	suppressible
Vps35	fbgn0034708	Rac1	fbgn0010333	suppressible
hiw	fbgn0030600	RagA-B	fbgn0037647	suppressible
enc	fbgn0004875	Ubc2	fbgn0015320	enhanceable
CycE	fbgn0010382	brm	fbgn0000212	suppressible
ftz	fbgn0001077	bek	fbgn0082599	enhanceable
Ubr3	fbgn0260970	Cad99C	fbgn0039709	enhanceable
mi	fbgn0261786	mir-2b-2	fbgn0262449	suppressible
dpp	fbgn0000490	Med	fbgn0011655	suppressible
numb	fbgn0002973	spdo	fbgn0260440	suppressible
Pka-C1	fbgn0000273	pan	fbgn0085432	suppressible
park	fbgn0041100	Stoml2	fbgn0034936	enhanceable
clu	fbgn0034087	TER94	fbgn0286784	suppressible
Hayan	fbgn0030925	Irc	fbgn0038465	suppressible
qsm	fbgn0028622	NKCC	fbgn0051547	suppressible
egr	fbgn0033483	nopo	fbgn0034314	suppressible
Alg3	fbgn0011297	hpo	fbgn0261456	suppressible
robo1	fbgn0005631	Rho1	fbgn0014020	enhanceable
sns	fbgn0024189	hbs	fbgn0029082	enhanceable
H	fbgn0001169	aop	fbgn0000097	suppressible
DJ-1?	fbgn0033885	Pi3K92E	fbgn0015279	enhanceable
eas	fbgn0000536	shi	fbgn0003392	suppressible
Cdc16	fbgn0025781	Nek2	fbgn0029970	suppressible
shi	fbgn0003392	Hsc70-4	fbgn0266599	enhanceable
Vps35	fbgn0034708	kuz	fbgn0259984	suppressible
w	fbgn0003996	Dcr-2	fbgn0034246	suppressible
WASp	fbgn0024273	wit	fbgn0024179	suppressible
TBPH	fbgn0025790	caz	fbgn0285954	suppressible
N	fbgn0004647	E(spl)m?-HLH	fbgn0002734	suppressible
pbl	fbgn0003041	Src64B	fbgn0262733	suppressible
h	fbgn0001168	Sxl	fbgn0264270	suppressible
ru	fbgn0003295	rho::ru	fbgn0264974	suppressible
csw	fbgn0000382	Egfr	fbgn0003731	suppressible
Dl	fbgn0000463	Kap-?3	fbgn0027338	enhanceable
asp	fbgn0000140	rl	fbgn0003256	enhanceable
Ras85D	fbgn0003205	Apc	fbgn0015589	enhanceable
step	fbgn0086779	zip	fbgn0265434	suppressible
anchor	fbgn0036741	Med	fbgn0011655	suppressible
Seipin	fbgn0040336	Cds	fbgn0010350	suppressible
stj	fbgn0261041	cac	fbgn0263111	suppressible
mir-bft	fbgn0263107	ttk	fbgn0003870	enhanceable
tsl	fbgn0003867	bcd	fbgn0000166	suppressible
fng	fbgn0011591	Hipk	fbgn0035142	enhanceable
Pi3K92E	fbgn0015279	Cds	fbgn0010350	suppressible
BicD	fbgn0000183	egl	fbgn0000562	suppressible
pk	fbgn0003090	Vang	fbgn0015838	enhanceable
N	fbgn0004647	Cdk9|E(spl)m?-HLH	fbgn0019949|fbgn0002735	suppressible
comm	fbgn0010105	robo1::robo2	fbgn0261940	suppressible
shg	fbgn0003391	Traf4	fbgn0026319	suppressible
polo	fbgn0003124	Sirt1	fbgn0024291	suppressible
Lmx1a	fbgn0052105	eya	fbgn0000320	suppressible
E2f1	fbgn0011766	trx	fbgn0003862	suppressible
SH3PX1	fbgn0040475	Krn	fbgn0052179	suppressible
msl-2	fbgn0005616	lncRNA:roX1	fbgn0019661	suppressible
pnr	fbgn0003117	EP339	fbgn0062656	suppressible
sd	fbgn0003345	yki	fbgn0034970	enhanceable
Pink1	fbgn0029891	Marf	fbgn0029870	suppressible
crol	fbgn0020309	Myc	fbgn0262656	suppressible
Bap170	fbgn0042085	polybromo	fbgn0039227	enhanceable
nerfin-1	fbgn0028999	N	fbgn0004647	suppressible
Mhc	fbgn0264695	tn	fbgn0265356	suppressible
CycE	fbgn0010382	S(Sev-CycE)D28	fbgn0041783	suppressible
gbb	fbgn0024234	sax	fbgn0003317	suppressible
upd1	fbgn0004956	hop	fbgn0004864	suppressible
hid	fbgn0003997	Imp	fbgn0285926	suppressible
CycE	fbgn0010382	hpo	fbgn0261456	suppressible
pk	fbgn0003090	Akap200	fbgn0027932	suppressible
dar1	fbgn0263239	nudC	fbgn0021768	suppressible
vap	fbgn0003969	rho	fbgn0004635	enhanceable
dsh	fbgn0000499	nkd	fbgn0002945	suppressible
stan	fbgn0024836	Vang	fbgn0015838	enhanceable
rho	fbgn0004635	brm	fbgn0000212	enhanceable
d	fbgn0262029	Dlish	fbgn0034264	enhanceable
mira	fbgn0021776	Su(Mir)2	fbgn0264276	suppressible
ptc	fbgn0003892	dpp	fbgn0000490	suppressible
fra	fbgn0011592	drl	fbgn0015380	enhanceable
Su(var)3-3	fbgn0260397	htt	fbgn0027655	enhanceable
sqd	fbgn0263396	Rbf	fbgn0015799	enhanceable
Syx1A	fbgn0013343	Csp	fbgn0004179	suppressible
rho	fbgn0004635	csw	fbgn0000382	suppressible
L	fbgn0267825	EP2031	fbgn0082373	suppressible
Ser	fbgn0004197	N	fbgn0004647	suppressible
egr	fbgn0033483	POSH|Rel	fbgn0040294|fbgn0014018	suppressible
Rbf	fbgn0015799	Dp|E2f1	fbgn0011763|fbgn0011766	suppressible
Antp	fbgn0260642	hth	fbgn0001235	suppressible
Mtor	fbgn0013756	pros	fbgn0004595	suppressible
Bx	fbgn0265598	caps|trn	fbgn0023095|fbgn0010452	enhanceable
N	fbgn0004647	Atg4b	fbgn0038325	enhanceable
mrt	fbgn0039507	Lsd-1	fbgn0039114	suppressible
if	fbgn0001250	bs	fbgn0004101	enhanceable
ena	fbgn0000578	p120ctn	fbgn0260799	suppressible
Vps35	fbgn0034708	Rab11	fbgn0015790	suppressible
Sox21a	fbgn0036411	Egfr	fbgn0003731	suppressible
ato	fbgn0010433	amos	fbgn0003270	suppressible
grh	fbgn0259211	stan	fbgn0024836	enhanceable
Smox	fbgn0025800	THG	fbgn0283659	suppressible
Vang	fbgn0015838	pwn	fbgn0003174	enhanceable
trp	fbgn0003861	inaE	fbgn0261244	enhanceable
Tak1	fbgn0026323	bsk	fbgn0000229	suppressible
Rbf	fbgn0015799	Cbl	fbgn0020224	suppressible
N	fbgn0004647	bs	fbgn0004101	suppressible
LIMK1	fbgn0283712	trio	fbgn0024277	suppressible
dac	fbgn0005677	dac::Ggal\Dach2	fbgn0040231	suppressible
spn-D	fbgn0003482	spn-E	fbgn0003483	enhanceable
aurA	fbgn0000147	Rok	fbgn0026181	suppressible
fz	fbgn0001085	Egfr	fbgn0003731	suppressible
lola|psq|Dl	fbgn0283521|fbgn0263102|fbgn0000463	Rbf	fbgn0015799	enhanceable
TER94	fbgn0286784	clu	fbgn0034087	suppressible
mys	fbgn0004657	2R-L	fbgn0021754	enhanceable
Atg9	fbgn0034110	Tor	fbgn0021796	suppressible
tn	fbgn0265356	sls	fbgn0086906	suppressible
br	fbgn0283451	E(br)420	fbgn0069446	enhanceable
Ras85D	fbgn0003205	Jra	fbgn0001291	suppressible
Ret	fbgn0011829	px	fbgn0003175	suppressible
dom	fbgn0020306	Mi-2	fbgn0262519	enhanceable
ap::Chi	fbgn0029096	Chi	fbgn0013764	suppressible
Ubx	fbgn0003944	Egfr	fbgn0003731	enhanceable
CycE	fbgn0010382	E2f1	fbgn0011766	enhanceable
put	fbgn0003169	Pp1-87B	fbgn0004103	enhanceable
Zyx	fbgn0011642	cpa|cpb	fbgn0034577|fbgn0011570	suppressible
Grx1	fbgn0036820	Ctr1A	fbgn0062413	enhanceable
ac	fbgn0000022	klu	fbgn0013469	enhanceable
L	fbgn0267825	upd1	fbgn0004956	enhanceable
Iswi	fbgn0011604	RpII215	fbgn0003277	enhanceable
Imp	fbgn0285926	sqd	fbgn0263396	enhanceable
gcm|robo1	fbgn0014179|fbgn0005631	robo2	fbgn0002543	enhanceable
brk	fbgn0024250	Abd-B	fbgn0000015	suppressible
shg	fbgn0003391	shg::Rnor\Cd2::?-Cat	fbgn0266759	suppressible
pbl	fbgn0003041	Dlc90F	fbgn0024432	suppressible
Ret	fbgn0011829	l(3)S003704	fbgn0028232	enhanceable
pum	fbgn0003165	hid	fbgn0003997	suppressible
SMC1	fbgn0040283	babo	fbgn0011300	enhanceable
N	fbgn0004647	Egfr	fbgn0003731	enhanceable
Apc2|Apc	fbgn0026598|fbgn0015589	Axn	fbgn0026597	suppressible
Tsc1	fbgn0026317	Tor	fbgn0021796	suppressible
N	fbgn0004647	wg	fbgn0284084	suppressible
Ser	fbgn0004197	fng	fbgn0011591	suppressible
Irk2	fbgn0039081	tkv	fbgn0003716	enhanceable
Nak	fbgn0015772	Chc	fbgn0000319	enhanceable
mbl	fbgn0265487	tsu	fbgn0033378	enhanceable
Sxl	fbgn0264270	NHP2	fbgn0029148	suppressible
kay	fbgn0001297	pigeon	fbgn0010309	suppressible
pnr	fbgn0003117	CG43759	fbgn0264090	enhanceable
NT1	fbgn0261526	spz	fbgn0003495	suppressible
cac	fbgn0263111	Plc21C	fbgn0004611	suppressible
Rae1	fbgn0034646	Atg18a	fbgn0035850	suppressible
Gli	fbgn0001987	puc	fbgn0243512	enhanceable
gcm	fbgn0014179	btl	fbgn0285896	enhanceable
yki	fbgn0034970	14-3-3?	fbgn0004907	enhanceable
spi	fbgn0005672	cv-c	fbgn0285955	enhanceable
pbl	fbgn0003041	Ptp4E	fbgn0004368	suppressible
cm	fbgn0000330	Vps26|w	fbgn0014411|fbgn0003996	suppressible
Dronc	fbgn0026404	Diap1	fbgn0260635	suppressible
Ctr1B	fbgn0062412	MtnB	fbgn0002869	suppressible
dpn	fbgn0010109	erm	fbgn0031375	suppressible
Ras85D	fbgn0003205	grk	fbgn0001137	enhanceable
Myc	fbgn0262656	sisA	fbgn0003411	suppressible
PlexA	fbgn0025741	Gyc76C	fbgn0266136	suppressible
PIP4K	fbgn0039924	Rab5	fbgn0014010	suppressible
CycE	fbgn0010382	l(1)air10	fbgn0004483	suppressible
Vap33	fbgn0029687	Tsc1	fbgn0026317	suppressible
aop	fbgn0000097	pros	fbgn0004595	suppressible
ct	fbgn0004198	su(Hw)	fbgn0003567	suppressible
Pink1	fbgn0029891	TER94	fbgn0286784	suppressible
Dsp1	fbgn0278608	trx	fbgn0003862	enhanceable
meru	fbgn0052150	fz	fbgn0001085	enhanceable
YME1L	fbgn0034792	HtrA2	fbgn0038233	suppressible
ncd	fbgn0002924	lwr	fbgn0010602	suppressible
cmb	fbgn0036365	mwh	fbgn0264272	enhanceable
RYBP|Ubx	fbgn0034763|fbgn0003944	Pc	fbgn0003042	suppressible
klar	fbgn0001316	Msp300	fbgn0261836	enhanceable
baz	fbgn0000163	Tmem63	fbgn0033259	enhanceable
kni	fbgn0001320	ash2	fbgn0000139	suppressible
tefu	fbgn0045035	moi	fbgn0261019	enhanceable
if	fbgn0001250	cass	fbgn0286781	enhanceable
ph-p	fbgn0004861	dpp	fbgn0000490	suppressible
M(2)56F	fbgn0286220	RpS12	fbgn0286213	enhanceable
Zip89B	fbgn0038412	Zip42C.1	fbgn0033096	enhanceable
Nsf2	fbgn0266464	Gdi	fbgn0004868	suppressible
ct	fbgn0004198	ss	fbgn0003513	enhanceable
RacGAP84C	fbgn0045843	ckd	fbgn0035427	enhanceable
Bg	fbgn0000176	B	fbgn0000154	enhanceable
png	fbgn0000826	mts	fbgn0004177	suppressible
CycE	fbgn0010382	Cdk2	fbgn0004107	enhanceable
Sema1a	fbgn0011259	trol	fbgn0284408	enhanceable
Ret	fbgn0011829	DJ-1?	fbgn0033885	suppressible
brm|rho	fbgn0000212|fbgn0004635	Snr1	fbgn0011715	suppressible
ci	fbgn0004859	Psc	fbgn0005624	enhanceable
en	fbgn0000577	Pcl	fbgn0003044	enhanceable
Kr	fbgn0001325	l(2)08492	fbgn0010649	enhanceable
Dad	fbgn0020493	Mbs	fbgn0005536	suppressible
pros	fbgn0004595	sv	fbgn0005561	suppressible
HDAC6	fbgn0026428	htt	fbgn0027655	enhanceable
scrib	fbgn0263289	Uev1A	fbgn0035601	suppressible
pnr	fbgn0003117	EP1246	fbgn0062693	enhanceable
peb	fbgn0003053	Acsl	fbgn0263120	suppressible
pnut|yki	fbgn0013726|fbgn0034970	bsk	fbgn0000229	enhanceable
kermit	fbgn0010504	fy	fbgn0001084	enhanceable
N	fbgn0004647	sca	fbgn0003326	enhanceable
Smox	fbgn0025800	Cyp310a1	fbgn0032693	suppressible
sina	fbgn0003410	ES3-1	fbgn0024357	suppressible
gcm	fbgn0014179	esc	fbgn0000588	enhanceable
Trap1	fbgn0026761	foxo	fbgn0038197	suppressible
Psn	fbgn0284421	eya	fbgn0000320	enhanceable
rdgB	fbgn0003218	trp	fbgn0003861	suppressible
Pink1	fbgn0029891	heix	fbgn0028375	enhanceable
spn-A	fbgn0003479	DNAlig4	fbgn0030506	enhanceable
PTP-ER	fbgn0016641	ksr	fbgn0015402	enhanceable
N	fbgn0004647	H	fbgn0001169	enhanceable
Gdi|rush	fbgn0004868|fbgn0025381	sta	fbgn0003517	suppressible
N	fbgn0004647	vn	fbgn0003984	suppressible
Snr1	fbgn0011715	PSR	fbgn0038948	enhanceable
smo	fbgn0003444	Ulp1	fbgn0027603	suppressible
Asx	fbgn0261823	Ubx	fbgn0003944	suppressible
osk	fbgn0003015	vas	fbgn0283442	suppressible
Brd	fbgn0000216	Dl	fbgn0000463	enhanceable
svp	fbgn0003651	phyl	fbgn0013725	suppressible
Abl	fbgn0000017	wit	fbgn0024179	suppressible
Tnks	fbgn0027508	upd3	fbgn0053542	suppressible
pav|tum	fbgn0011692|fbgn0086356	wg	fbgn0284084	enhanceable
nos	fbgn0002962	hid	fbgn0003997	enhanceable
Pten|Ras85D	fbgn0026379|fbgn0003205	p53	fbgn0039044	suppressible
Apc2|Apc	fbgn0026598|fbgn0015589	Diap1	fbgn0260635	suppressible
TBPH	fbgn0025790	cac	fbgn0263111	suppressible
Dl	fbgn0000463	Snr1	fbgn0011715	enhanceable
f	fbgn0262111	su(Hw)	fbgn0003567	suppressible
Smu1	fbgn0038666	Fas2	fbgn0000635	suppressible
Nsf2	fbgn0266464	comt	fbgn0000346	suppressible
pcx	fbgn0003048	Hsc70-3	fbgn0001218	suppressible
Iswi	fbgn0011604	Sin3A	fbgn0022764	enhanceable
Cdc42	fbgn0010341	Tlk	fbgn0283657	enhanceable
mtm	fbgn0025742	Sbf	fbgn0025802	suppressible
msd1	fbgn0035209	cnn	fbgn0013765	enhanceable
Sirt1	fbgn0024291	DnaJ-H	fbgn0032474	suppressible
if	fbgn0001250	Tsp66E	fbgn0035936	suppressible
hh	fbgn0004644	disp	fbgn0029088	suppressible
grim::rpr	fbgn0041152	morgue	fbgn0027609	enhanceable
E2f1	fbgn0011766	mir-11	fbgn0262434	suppressible
bw	fbgn0000241	Mod(Prat:bw)1-4	fbgn0067883	suppressible
Fit1	fbgn0035498	Fit2	fbgn0036688	enhanceable
Mkp3	fbgn0036844	rl	fbgn0003256	suppressible
egr	fbgn0033483	PpV|fmt	fbgn0003139|fbgn0035688	suppressible
sbb	fbgn0285917	Mer	fbgn0086384	enhanceable
E(spl)m8-HLH	fbgn0000591	CkII?	fbgn0264492	suppressible
Bx	fbgn0265598	Chi	fbgn0013764	suppressible
faf|lqf	fbgn0005632|fbgn0028582	Chc	fbgn0000319	enhanceable
Rac1	fbgn0010333	puc	fbgn0243512	enhanceable
ninaE	fbgn0002940	bsk	fbgn0000229	suppressible
L	fbgn0267825	EP1324	fbgn0085062	suppressible
dpy	fbgn0053196	su(dpy<up>ov</up>)	fbgn0003555	suppressible
yki	fbgn0034970	Leash	fbgn0037856	suppressible
CanA-14F	fbgn0267912	sra	fbgn0086370	enhanceable
mira	fbgn0021776	Su(Mir)2A2-1	fbgn0264281	suppressible
hid	fbgn0003997	cos	fbgn0000352	suppressible
H	fbgn0001169	l(2)k10113	fbgn0021961	suppressible
mbl	fbgn0265487	Ugt36D1	fbgn0032713	suppressible
ap	fbgn0267978	Diap1	fbgn0260635	suppressible
Dl	fbgn0000463	Su(Dl)D107	fbgn0010087	suppressible
Cul2	fbgn0032956	tkv	fbgn0003716	suppressible
bcd	fbgn0000166	Chi	fbgn0013764	enhanceable
mod(mdg4)	fbgn0002781	trx	fbgn0003862	enhanceable
pnr	fbgn0003117	EP1570	fbgn0062682	suppressible
Hs3st-B	fbgn0031005	?3GalTII	fbgn0033315	enhanceable
pnr|CtBP	fbgn0003117|fbgn0020496	HDAC1	fbgn0015805	enhanceable
brm	fbgn0000212	Snr1	fbgn0011715	suppressible
Rac1	fbgn0010333	robo1	fbgn0005631	enhanceable
arm	fbgn0000117	lilli	fbgn0041111	enhanceable
dsh	fbgn0000499	sqh	fbgn0003514	enhanceable
Nlg4	fbgn0083975	Mad	fbgn0011648	suppressible
Trf4-1	fbgn0030049	Rrp6	fbgn0038269	suppressible
nej	fbgn0261617	gl	fbgn0004618	suppressible
pnr	fbgn0003117	akirin	fbgn0082598	enhanceable
cwo	fbgn0259938	per	fbgn0003068	enhanceable
meigo	fbgn0250820	Ephrin	fbgn0040324	suppressible
Rac1	fbgn0010333	trio	fbgn0024277	suppressible
ci	fbgn0004859	cg	fbgn0000289	enhanceable
ATP7	fbgn0030343	Cog1	fbgn0037998	suppressible
Pcyt1	fbgn0041342	Egfr	fbgn0003731	enhanceable
Iswi	fbgn0011604	E(bx)	fbgn0000541	enhanceable
Lpt	fbgn0263667	Dcr-2	fbgn0034246	enhanceable
robo3	fbgn0041097	Ptp69D	fbgn0014007	suppressible
mle	fbgn0002774	Khc	fbgn0001308	enhanceable
smo	fbgn0003444	ptc	fbgn0003892	suppressible
nSyb	fbgn0013342	Syb	fbgn0003660	suppressible
norpA	fbgn0262738	Cp1	fbgn0013770	enhanceable
eve	fbgn0000606	egl	fbgn0000562	enhanceable
Zip42C.1|ZnT63C	fbgn0033096|fbgn0035432	foi	fbgn0024236	enhanceable
Dys	fbgn0260003	Hipk	fbgn0035142	suppressible
eff	fbgn0011217	Ube3a	fbgn0061469	enhanceable
hiw	fbgn0030600	wit	fbgn0024179	suppressible
PDZ-GEF	fbgn0265778	mys	fbgn0004657	suppressible
grau	fbgn0001133	cort	fbgn0000351	suppressible
hpo	fbgn0261456	Tgi	fbgn0036373	suppressible
peb	fbgn0003053	Nse1	fbgn0031848	suppressible
Antp	fbgn0260642	Pc	fbgn0003042	enhanceable
vg	fbgn0003975	E2f1	fbgn0011766	suppressible
Rho1	fbgn0014020	Pura	fbgn0035802	suppressible
nudE	fbgn0036059	Lis-1	fbgn0015754	suppressible
pb	fbgn0051481	RasGAP1	fbgn0004390	suppressible
Su(var)205	fbgn0003607	fzy	fbgn0001086	suppressible
btl|stumps	fbgn0285896|fbgn0020299	btl::Egfr	fbgn0022739	suppressible
exp	fbgn0033668	Rho1	fbgn0014020	enhanceable
kek6	fbgn0039862	spz5	fbgn0035379	enhanceable
Psn	fbgn0284421	mGluR	fbgn0019985	suppressible
Nsf2	fbgn0266464	Moe	fbgn0011661	suppressible
pbl	fbgn0003041	htl	fbgn0010389	suppressible
w	fbgn0003996	lncRNA:let7C	fbgn0263049	suppressible
smo	fbgn0003444	Gprk2	fbgn0261988	enhanceable
grim	fbgn0015946	Drice	fbgn0019972	suppressible
hid	fbgn0003997	Raf	fbgn0003079	enhanceable
slim	fbgn0261477	lic	fbgn0261524	suppressible
H	fbgn0001169	nej	fbgn0261617	enhanceable
ksr::tor	fbgn0019804	EK3-3	fbgn0043588	enhanceable
Idh	fbgn0001248	Sod2	fbgn0010213	suppressible
InR	fbgn0283499	Dl::N	fbgn0013820	suppressible
egr	fbgn0033483	grnd	fbgn0032682	suppressible
trx	fbgn0003862	htt	fbgn0027655	enhanceable
dom	fbgn0020306	PCNA	fbgn0005655	enhanceable
Sas-4	fbgn0011020	BubR1	fbgn0263855	enhanceable
l(1)sc	fbgn0002561	mam	fbgn0002643	enhanceable
Ser	fbgn0004197	fng	fbgn0011591	suppressible
Ubx|Trl	fbgn0003944|fbgn0013263	bip2	fbgn0026262	enhanceable
Jra	fbgn0001291	pnt	fbgn0003118	suppressible
Rheb	fbgn0041191	AMPK?	fbgn0023169	suppressible
Myc	fbgn0262656	Pi3K59F	fbgn0015277	suppressible
Nsf2	fbgn0266464	Fim	fbgn0024238	suppressible
upd1	fbgn0004956	Stat92E	fbgn0016917	suppressible
Sra-1	fbgn0038320	Hem	fbgn0011771	suppressible
stan	fbgn0024836	fw	fbgn0001083	enhanceable
spn-E	fbgn0003483	spn-D	fbgn0003482	enhanceable
mirr	fbgn0014343	CycE	fbgn0010382	suppressible
Bx|ap	fbgn0265598|fbgn0267978	Mpcp2	fbgn0026409	suppressible
futsch	fbgn0259108	spartin	fbgn0037265	suppressible
Dref	fbgn0015664	osa	fbgn0261885	suppressible
Raf	fbgn0003079	Su(phl)9	fbgn0014889	suppressible
scrib	fbgn0263289	hid	fbgn0003997	suppressible
ft	fbgn0001075	d	fbgn0262029	suppressible
grim	fbgn0015946	morgue	fbgn0027609	suppressible
wupA	fbgn0283471	SPARC	fbgn0026562	suppressible
Lrrk|foxo	fbgn0038816|fbgn0038197	hid	fbgn0003997	suppressible
l(2)gd1	fbgn0261983	Psn	fbgn0284421	suppressible
ChAT	fbgn0000303	Dys	fbgn0260003	suppressible
ss	fbgn0003513	BEAF-32	fbgn0015602	suppressible
wts	fbgn0011739	CycA	fbgn0000404	suppressible
Egfr	fbgn0003731	cv-c	fbgn0285955	suppressible
Pc	fbgn0003042	Pcl	fbgn0003044	enhanceable
yki	fbgn0034970	zip	fbgn0265434	suppressible
TBPH	fbgn0025790	Syp	fbgn0038826	suppressible
Rab11	fbgn0015790	ru	fbgn0003295	suppressible
lace	fbgn0002524	rl	fbgn0003256	suppressible
dgo	fbgn0086898	dsh	fbgn0000499	suppressible
ap	fbgn0267978	z	fbgn0004050	enhanceable
sog	fbgn0003463	fw	fbgn0001083	enhanceable
Src42A	fbgn0264959	Csk	fbgn0262081	suppressible
edl	fbgn0023214	pnt	fbgn0003118	suppressible
S	fbgn0003310	capt	fbgn0261458	enhanceable
net	fbgn0002931	S|ast	fbgn0003310|fbgn0015905	suppressible
mira	fbgn0021776	exu	fbgn0000615	suppressible
ey	fbgn0005558	da	fbgn0267821	enhanceable
SRm160	fbgn0036340	Doa	fbgn0265998	enhanceable
Ask1	fbgn0014006	p38b	fbgn0024846	suppressible
tor	fbgn0003733	dpp	fbgn0000490	enhanceable
?Snap	fbgn0250791	Nsf2	fbgn0266464	suppressible
ss	fbgn0003513	sta	fbgn0003517	enhanceable
net	fbgn0002931	nmo	fbgn0011817	enhanceable
Pi3K92E|btl::Egfr	fbgn0015279|fbgn0022739	S6k	fbgn0283472	suppressible
Ras85D	fbgn0003205	EY3-5	fbgn0026440	enhanceable
kst	fbgn0004167	trio	fbgn0024277	suppressible
Osbp	fbgn0020626	Rab7	fbgn0015795	suppressible
Dl	fbgn0000463	CG9650	fbgn0029939	enhanceable
Src42A	fbgn0264959	Src64B	fbgn0262733	enhanceable
Egfr	fbgn0003731	kek1	fbgn0015399	enhanceable
Rac1	fbgn0010333	sqh	fbgn0003514	enhanceable
bnl	fbgn0014135	Cdc42	fbgn0010341	suppressible
ci	fbgn0004859	wts	fbgn0011739	enhanceable
fzr	fbgn0262699	CG43066	fbgn0262476	suppressible
Src64B	fbgn0262733	shg	fbgn0003391	suppressible
gsb	fbgn0001148	Myc	fbgn0262656	suppressible
Egfr	fbgn0003731	Madm	fbgn0027497	suppressible
btl|stumps	fbgn0285896|fbgn0020299	CG10082	fbgn0034644	enhanceable
vtd	fbgn0260987	bsk	fbgn0000229	suppressible
L	fbgn0267825	N	fbgn0004647	enhanceable
CG9003	fbgn0033639	slmb	fbgn0283468	enhanceable
sesB	fbgn0003360	para	fbgn0285944	suppressible
Ras85D	fbgn0003205	ER3-3	fbgn0016645	enhanceable
E2f1	fbgn0011766	E(Pc)	fbgn0000581	enhanceable
Dys	fbgn0260003	nAChR?6	fbgn0032151	suppressible
Ubx	fbgn0003944	Syx1A	fbgn0013343	suppressible
N	fbgn0004647	Abl|Nrt	fbgn0000017|fbgn0004108	suppressible
htl	fbgn0010389	Smn	fbgn0036641	enhanceable
slbo	fbgn0005638	EP2585	fbgn0024755	suppressible
N	fbgn0004647	esg	fbgn0001981	suppressible
nej	fbgn0261617	Glo1	fbgn0283450	suppressible
Drak|Rok	fbgn0052666|fbgn0026181	sqh	fbgn0003514	suppressible
Ppt1	fbgn0030057	Imp	fbgn0285926	enhanceable
btl|stumps	fbgn0285896|fbgn0020299	HmgD	fbgn0004362	enhanceable
Cdc42	fbgn0010341	numb	fbgn0002973	suppressible
Sema1a	fbgn0011259	Fas2	fbgn0000635	suppressible
Dark	fbgn0263864	pcm	fbgn0020261	suppressible
Pc	fbgn0003042	vtd	fbgn0260987	suppressible
PGRP-LF	fbgn0035977	PGRP-LE	fbgn0030695	suppressible
Orco	fbgn0037324	Ir8a	fbgn0052704	suppressible
E2f1	fbgn0011766	Mi-2	fbgn0262519	suppressible
smi51A	fbgn0016932	smi65A	fbgn0016935	suppressible
dpp	fbgn0000490	eya	fbgn0000320	suppressible
Sin3A	fbgn0022764	Cdk1	fbgn0004106	enhanceable
brat	fbgn0010300	Syp	fbgn0038826	suppressible
alc	fbgn0260972	norpA	fbgn0262738	suppressible
sns	fbgn0024189	dock	fbgn0010583	enhanceable
tor	fbgn0003733	tup	fbgn0003896	suppressible
Marf	fbgn0029870	Gdap1	fbgn0035587	suppressible
larp	fbgn0261618	pAbp	fbgn0265297	enhanceable
grim	fbgn0015946	Diap1	fbgn0260635	suppressible
Mettl3	fbgn0039139	Mettl14	fbgn0032016	enhanceable
LIMK1	fbgn0283712	sif	fbgn0085447	suppressible
mbl	fbgn0265487	TBPH	fbgn0025790	enhanceable
CycA	fbgn0000404	fzr	fbgn0262699	suppressible
N	fbgn0004647	mam	fbgn0002643	suppressible
pnr	fbgn0003117	l(3)L0539	fbgn0024531	enhanceable
eas	fbgn0000536	EP2589	fbgn0083237	suppressible
